"dpto","code","mpio","year","periodo","crop","harvested","prod","yield","NA"
"ANTIOQUIA",5101,"CIUDAD BOLIVAR","CAFE",2007,"2007",9680,8510,9935,1.16745005875441
"ANTIOQUIA",5034,"ANDES","CAFE",2007,"2007",8696,8484,13574.4,1.6
"ANTIOQUIA",5642,"SALGAR","CAFE",2007,"2007",6011,4200,4720,1.12380952380952
"ANTIOQUIA",5209,"CONCORDIA","CAFE",2007,"2007",5578,5012,6182,1.23343974461293
"ANTIOQUIA",5091,"BETANIA","CAFE",2007,"2007",5439.4,5439.4,5482,1.00783174614847
"ANTIOQUIA",5093,"BETULIA","CAFE",2007,"2007",4845,4532,4826,1.0648720211827
"ANTIOQUIA",5002,"ABEJORRAL","CAFE",2007,"2007",4066.7,3818.7,2329.4,0.609998166915443
"ANTIOQUIA",5756,"SONSON","CAFE",2007,"2007",3660,3000,3600,1.2
"ANTIOQUIA",5361,"ITUANGO","CAFE",2007,"2007",3067,2873,3110,1.08249216846502
"ANTIOQUIA",5483,"NARIÑO","CAFE",2007,"2007",2973,2653,2643,0.996230682246513
"ANTIOQUIA",5789,"TAMESIS","CAFE",2007,"2007",2657,1519,1701.9,1.12040816326531
"ANTIOQUIA",5138,"CAÑASGORDAS","CAFE",2007,"2007",2545,2447,1174.6,0.480016346546792
"ANTIOQUIA",5282,"FREDONIA","CAFE",2007,"2007",2497,2197,2856.1,1.3
"ANTIOQUIA",5364,"JARDIN","CAFE",2007,"2007",2348,2348,3170,1.35008517887564
"ANTIOQUIA",5240,"EBEJICO","CAFE",2007,"2007",2015,1200,1344,1.12
"ANTIOQUIA",5234,"DABEIBA","CAFE",2007,"2007",2000,1864,1864,1
"ANTIOQUIA",5368,"JERICO","CAFE",2007,"2007",2000,1810,2244.4,1.24
"ANTIOQUIA",5055,"ARGELIA","CAFE",2007,"2007",1800,1800,1800,1
"ANTIOQUIA",5890,"YOLOMBO","CAFE",2007,"2007",1800,1700,1360,0.8
"ANTIOQUIA",5649,"SAN CARLOS","CAFE",2007,"2007",1627,1627,1464.3,0.9
"ANTIOQUIA",5576,"PUEBLO RICO","CAFE",2007,"2007",1623,1430,1287,0.9
"ANTIOQUIA",5031,"AMALFI","CAFE",2007,"2007",1552,1432,1439.2,1.00502793296089
"ANTIOQUIA",5042,"SANTAFE DE ANTIOQUIA","CAFE",2007,"2007",1524,1407,1896,1.34754797441365
